The real story turns out to be SURVEILLANCE and LEAKING! Find the leakers.
"Talks on Repealing and Replacing ObamaCare are, and have been, going on, and will continue until such time as a deal is hopefully struck."
Anybody (especially Fake News media) who thinks that Repeal & Replace of ObamaCare is dead does not know the love and strength in R Party!
"not associated with Russia. Trump team spied on before he was nominated. If this is true, does not get much bigger. Would be sad for U.S."
"Wow, FoxNews just reporting big news. Source Official behind unmasking is high up. Known Intel official is responsible. Some unmasked"
"use subsidies to buy health plans. In other words, Ocare is dead. Good things will happen, however, either with Republicans or Dems."
"The failing nytimes finally gets it - In places where no insurance company offers plans, there will be no way for ObamaCare customers to"
signs executive orders on trade that will set the stage for revival in American manufacturing. 
It is the same Fake News Media that said there is no path to victory for Trump that is now pushing the phony Russia story. A total scam!
When will Sleepy Eyes Chuck Todd and NBCNews start talking about the Obama SURVEILLANCE SCANDAL and stop with the Fake Trump/Russia story?
We are going to defend our industry & create a level playing field for the American worker. It is time to put
Trump Celebrates American Manufacturing Survey Showing Highest Level of Optimism in 20 Years
It is an exciting time for our country! 
"Great meeting with a wonderful woman today, former Secretary of State, Condoleezza Rice! "
"Mike Flynn should ask for immunity in that this is a witch hunt (excuse for big election loss), by media & Dems, of historic proportion!"
Only by enlisting the full potential of women in our society will we be truly able to MakeAmericaGreatAgain
and job losses. American companies must be prepared to look at other alternatives.
The meeting next week with China will be a very difficult one in that we can no longer have massive trade deficits
The failing nytimes has disgraced the media world. Gotten me wrong for two solid years. Change libel laws?
"The Freedom Caucus will hurt the entire Republican agenda if they don't get on the team, & fast. We must fight them, & Dems, in 2018!"
Today we honored our true American heroes on the first-ever National Vietnam War Veterans Day.
